movie,contents,score
시네마 천국,아름다운 향이 나는 영화,10
시네마 천국,평점에 스포가 너무 많... ㅠㅠ,10
시네마 천국,마지막 키스씬 필름에서알프레도의 사랑을 느낄수있어서 펑펑 울었다.,10
시네마 천국,추억에 한번 울고 음악에 다시 울고,10
시네마 천국,잔잔한 감동이 온다..축약판으로 봤는데 추후에 감독판으로도 꼭 봐야겠다.,10
시네마 천국,한남자의 일대기를 잔잔하게 그려냈다. 마지막 장면과 OST는 언제 봐도 정말 감동적이다.,8
시네마 천국,그곳은 진정한 파라다이스였다,7
시네마 천국,아역 배두 이름은 살바토레 카스치오가 아니라 살바토레 까쇼 입니다.,10
시네마 천국,눈물이 멈추질 않는다ㅠㅠ,10
시네마 천국,아! 내 천국은 시네마에 있었어.,10
시네마 천국,눈물이난다. 꼭보시길..,10
시네마 천국,다시보고싶은 영화ㅡㅡ다시듣고싶은 음악ㅡㅡ,10
시네마 천국,마지막 장면은 지금 생각해도 먹먹하다...,10
시네마 천국,한장면한장면이 모두 가슴 시리게 만들었던 내 스무살의 기억,10
시네마 천국,이 영화는 진짜 미쳤다...폭풍 감동... ㅜ,10
시네마 천국,말이 필요없는 명작임!,10
시네마 천국,말이 필요없는 남자의 영화. 중년의 토토와 같이 나도 나이를 먹는구나...,10
시네마 천국,가슴이 벅차오른다.  눈물이 난다.,10
시네마 천국,영화입문=시네마천국,10
시네마 천국,한 남자의 인생이 깃든 공간,6
시네마 천국,사라져가는 세월의 추억을 한구석에 담는 영화의 묘미,9
시네마 천국,현명한 친구이자 조언자였던 알프레도. 약속을 담은 마지막 선물로 유종의 미를 거두다.,7
시네마 천국,1980년대이런영화를 만들었다는것에 찬사를,10
시네마 천국,그냥 명작이다.말할 필요 없음,10
시네마 천국,사람들이 명작이라 하면서 입에 오르내리는 영화인데엔 늘 이유가 있더군요. 영화에 한사람의 인생이 녹아내려 있다는것이 대단합니다.,9
시네마 천국,정말 최고의 영화입니다.,10
시네마 천국,진짜 너무 아름다운내용입니다.,10
시네마 천국,하...진짜 멋찐 영화입니다..진짜 명작답네요,10
시네마 천국,시네마천국 아 이 명작을 다시보고싶어용,10
시네마 천국,엔딩의 키스신은 내가 본 모든 영화 중 최고의 명장면이다.,10
시네마 천국,재개봉했을때 갔어야했구나...,10
시네마 천국,볼때마다 느껴지는 감정이 다르네요. 아름다운 영화에요,10
시네마 천국,잊을 수 없는 OST 선율과 문득 하나씩 떠오르는 장면들이 너무 아름답다.,10
시네마 천국,최고다. 달리 표현을 할 수가 없다.,10
시네마 천국,내 인생 최고의 영화 중 하나입니다.,10
시네마 천국,그냥 괜찮은 영화였어요!,7
시네마 천국,"Childhood and manhood, Love theme 두 곡만으로도 이미 최고. 거기에 감동과 웃음이 함께하는 그야말로 완벽한 작품.",10
